accession	cluster	abundance	length_ave	score	read_count	total_bases	coverage	subsampled	coverage_final	notes	index
ERR3406003	E_col_Pop78	0.291882	5018982.642857143	1	135392.54571026724	32729794	6.521200874559709	0	6.521200874559709	Warning: low coverage (6.521200874559709) so distances may not be accurate	0.0
ERR3406005	E_col_Pop2	0.566612	5164877.042972247	1	159421.47963424772	38356808	7.42647069443626	0	7.42647069443626	Warning: low coverage (7.42647069443626) so distances may not be accurate	3.0
ERR3406005	E_col_Pop3	0.398588	5143260.323902439	1	129388.3190408792	31081662	6.043182736746416	0	6.043182736746416	Warning: low coverage (6.043182736746416) so distances may not be accurate	1.0
ERR3406007	E_col_Pop6	3.36496e-06	4965438.799528302	1	707041.4702720582	171005050	34.43906105866109	0	34.43906105866109		0.0
ERR3406007	E_col_Pop79	0.745814	5056706.142857143	1	833444.8982966761	201593652	39.8665942423333	0	39.8665942423333		67.0
ERR3406008	E_col_Pop14	0.53068	5232497.992063492	1	270291.8024691358	65680908	12.552495595721773	0	12.552495595721773		24.0
ERR3406008	E_col_Pop40	1.30274e-05	5121280.674418605	1	173728.88815626802	42157052	8.23174019939571	0	8.23174019939571	Warning: low coverage (8.23174019939571) so distances may not be accurate	20.0
ERR3406008	E_col_Pop63	0.386266	4867752.5	1	213315.26554137503	51814278	10.644394512662672	0	10.644394512662672		7.0
ERR3406009	E_col_Pop7	0.909796	5463182.018134715	1	1178973.5284391535	285217276	52.2071706659668	0	52.2071706659668		0.0
ERR3406011	E_col_Pop2	0.811555	5164877.042972247	1	607099.4398220611	147391602	28.53729155092918	0	28.53729155092918		1.0
ERR3406012	E_col_Pop145	0.929504	4940355.5	1	494234.44168734486	119505888	24.189734524165317	0	24.189734524165317		2.0
ERR3406012	E_col_Pop69	3.13466e-06	5209994.1875	1	366121.8385093168	88418424	16.970925651344597	0	16.970925651344597		3.0
ERR3406013	E_col_Pop103	0.753417	4958557.0	1	1054692.694214876	255235632	51.473771905818566	0	51.473771905818566		1.0
ERR3406014	E_col_Pop117	0.999208	4866025.625	1	191874.78239448185	46733022	9.603940793057372	0	9.603940793057372	Warning: low coverage (9.603940793057372) so distances may not be accurate	17.0
ERR3406015	E_col_Pop206	1.03717e-06	4699136.75	1	300901.0521920668	72065802	15.335966121862702	0	15.335966121862702		4.0
ERR3406015	E_col_Pop3	0.941405	5143260.323902439	1	2451203.717472119	593436420	115.38136952588299	1	100.0	Warning: high coverage (115.38136952588299) so 2124436 reads were subsampled to reduce the coverage to 100	1.0
ERR3406015	E_col_Pop78	0.0571244	5018982.642857143	1	293450.183639399	70310664	14.00894743082324	0	14.00894743082324		0.0
ERR3406017	E_col_Pop6	2.08816e-05	4965438.799528302	1	1130893.7711689384	273789382	55.139010478995125	0	55.139010478995125		0.0
