id	cluster	assembly
386009639	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386009639.fasta.gz
395443650	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/395443650.fasta.gz
431799958	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/431799958.fasta.gz
512576139	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/512576139.fasta.gz
512683057	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/512683057.fasta.gz
480328235	Propionibacterium_avidum	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/480328235.fasta.gz
239813019	Variovorax_paradoxus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/239813019.fasta.gz
319790694	Variovorax_paradoxus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/319790694.fasta.gz
538392231	Variovorax_paradoxus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/538392231.fasta.gz
478483683	Enterococcus_casseliflavus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/478483683.fasta.gz
68535062	Corynebacterium_jeikeium	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/68535062.fasta.gz
146309667	Enterobacter_sp_638	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/146309667.fasta.gz
190572091	Stenotrophomonas_maltophilia	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/190572091.fasta.gz
194363778	Stenotrophomonas_maltophilia	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/194363778.fasta.gz
344205421	Stenotrophomonas_maltophilia	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/344205421.fasta.gz
386716467	Stenotrophomonas_maltophilia	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386716467.fasta.gz
283457089	Rothia_mucilaginosa	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/283457089.fasta.gz
172039680	Corynebacterium_urealyticum	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/172039680.fasta.gz
448822683	Corynebacterium_urealyticum	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/448822683.fasta.gz
556589855	Staphylococcus_pasteuri	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/556589855.fasta.gz
258506995	Lactobacillus_rhamnosus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/258506995.fasta.gz
258538191	Lactobacillus_rhamnosus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/258538191.fasta.gz
385826720	Lactobacillus_rhamnosus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385826720.fasta.gz
385833938	Lactobacillus_rhamnosus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385833938.fasta.gz
523515595	Lactobacillus_rhamnosus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/523515595.fasta.gz
523518464	Lactobacillus_rhamnosus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/523518464.fasta.gz
296112228	Moraxella_catarrhalis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/296112228.fasta.gz
261403876	Paenibacillus_sp_Y412MC10	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/261403876.fasta.gz
194097589	Neisseria_gonorrhoeae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/194097589.fasta.gz
59800473	Neisseria_gonorrhoeae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/59800473.fasta.gz
313667359	Neisseria_lactamica	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/313667359.fasta.gz
385337120	Neisseria_meningitidis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385337120.fasta.gz
385339062	Neisseria_meningitidis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385339062.fasta.gz
385340991	Neisseria_meningitidis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385340991.fasta.gz
385850283	Neisseria_meningitidis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385850283.fasta.gz
385854193	Neisseria_meningitidis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385854193.fasta.gz
385856165	Neisseria_meningitidis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385856165.fasta.gz
339998036	Salmonella_bongori	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/339998036.fasta.gz
526225953	Salmonella_bongori	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/526225953.fasta.gz
365968300	Enterobacter_cloacae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/365968300.fasta.gz
197283915	Proteus_mirabilis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/197283915.fasta.gz
529235720	Proteus_mirabilis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/529235720.fasta.gz
386741417	Providencia_stuartii	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386741417.fasta.gz
440228796	Serratia_marcescens	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/440228796.fasta.gz
448239774	Serratia_marcescens	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/448239774.fasta.gz
