PopPUNK	Cluster
E_fcm_Pop177	E_fcm_SC177_ST102
E_fcm_Pop178	E_fcm_SC178_ST16
E_fcm_Pop179	E_fcm_SC179_ST169
E_fcm_Pop180	E_fcm_SC180_ST9
E_fcm_Pop181	E_fcm_SC181_ST203
E_fcm_Pop182	E_fcm_SC182_ST317
E_fcm_Pop183	E_fcm_SC183_ST117
E_fcm_Pop184	E_fcm_SC184_ST186
E_fcm_Pop185	E_fcm_SC185_ST286
E_fcm_Pop186	E_fcm_SC186_ST456
E_fcm_Pop187	E_fcm_SC187_ST56
E_fcm_Pop188	E_fcm_SC188_ST264
E_fcm_Pop189	E_fcm_SC189_ST17
E_fcm_Pop190	E_fcm_SC190_ST38
E_fcm_Pop191	E_fcm_SC191_ST270
E_fcm_Pop192	E_fcm_SC192_ST1094
E_fcm_Pop193	E_fcm_SC193_ST412
E_fcm_Pop194	E_fcm_SC194_ST274
E_fcm_Pop195	E_fcm_SC195_ST117
E_fcm_Pop196	E_fcm_SC196_ST141
E_fcm_Pop197	E_fcm_SC197_ST22
E_fcm_Pop198	E_fcm_SC198_ST117
E_fcm_Pop199	E_fcm_SC199_STNA
E_fcm_Pop200	E_fcm_SC200_ST278
E_fcm_Pop201	E_fcm_SC201_ST192
E_fcm_Pop202	E_fcm_SC202_ST636
E_fcm_Pop203	E_fcm_SC203_ST17
E_fcm_Pop204	E_fcm_SC204_ST80
E_fcm_Pop205	E_fcm_SC205_ST966
E_fcm_Pop206	E_fcm_SC206_ST1153
E_fcm_Pop207	E_fcm_SC207_ST270
E_fcm_Pop208	E_fcm_SC208_ST44
E_fcm_Pop209	E_fcm_SC209_ST885
E_fcm_Pop210	E_fcm_SC210_ST1141
E_fcm_Pop211	E_fcm_SC211_ST32
E_fcm_Pop212	E_fcm_SC212_ST551
E_fcm_Pop213	E_fcm_SC213_ST18
E_fcm_Pop214	E_fcm_SC214_ST1130
E_fcm_Pop215	E_fcm_SC215_ST1122
E_fcm_Pop216	E_fcm_SC216_ST78
E_fcm_Pop217	E_fcm_SC217_ST1093
E_fcm_Pop218	E_fcm_SC218_ST59
E_fcm_Pop219	E_fcm_SC219_ST8
E_fcm_Pop220	E_fcm_SC220_ST29
E_fcm_Pop221	E_fcm_SC221_ST1143
E_fcm_Pop222	E_fcm_SC222_ST1142
E_fcm_Pop223	E_fcm_SC223_ST18
E_fcm_Pop224	E_fcm_SC224_ST117
E_fcm_Pop225	E_fcm_SC225_ST142
E_fcm_Pop226	E_fcm_SC226_ST14
E_fcm_Pop227	E_fcm_SC227_ST1128
E_fcm_Pop228	E_fcm_SC228_ST1152
E_fcm_Pop229	E_fcm_SC229_ST18
E_fcm_Pop230	E_fcm_SC230_ST21
E_fcm_Pop231	E_fcm_SC231_ST17
E_fcm_Pop232	E_fcm_SC232_ST148
E_fcm_Pop233	E_fcm_SC233_ST92
E_fcm_Pop234	E_fcm_SC234_ST1095
E_fcm_Pop235	E_fcm_SC235_ST524
E_fcm_Pop236	E_fcm_SC236_ST1091
E_fcm_Pop237	E_fcm_SC237_ST255
E_fcm_Pop238	E_fcm_SC238_ST125
E_fcm_Pop239	E_fcm_SC239_ST8
E_fcm_Pop240	E_fcm_SC240_ST5
E_fcm_Pop241	E_fcm_SC241_ST458
E_fcm_Pop242	E_fcm_SC242_ST1146
E_fcm_Pop243	E_fcm_SC243_ST25
E_fcm_Pop244	E_fcm_SC244_ST64
E_fcm_Pop245	E_fcm_SC245_ST1143
E_fcm_Pop246	E_fcm_SC246_ST17
E_fcm_Pop247	E_fcm_SC247_ST650
E_fcm_Pop248	E_fcm_SC248_ST161
E_fcm_Pop249	E_fcm_SC249_ST17
E_fcm_Pop250	E_fcm_SC250_ST771
E_fcm_Pop251	E_fcm_SC251_ST257
E_fcm_Pop252	E_fcm_SC252_ST656
E_fcm_Pop253	E_fcm_SC253_ST868
E_fcm_Pop254	E_fcm_SC254_ST25
E_fcm_Pop255	E_fcm_SC255_ST759
E_fcm_Pop256	E_fcm_SC256_ST54
